district,county,state_school_id,nces_id,school_name,school_type,is_zoned_public,is_charter,is_magnet,is_private,grades_served,address,city,zip,latitude,longitude,source_url,notes
ORANGE,ORANGE,480571,,GLENRIDGE MIDDLE,Middle/Junior,YES,NO,,NO,,2900 Upper Park Rd,Orlando,32814,28.5788008459061,-81.3387582908901,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480581,,COLLEGE PARK MIDDLE,Middle/Junior,YES,NO,,NO,,1201 Maury Rd,Orlando,32804,28.5842141651996,-81.3970232944188,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480601,,ORLANDO GIFTED ACADEMY,Combination,YES,NO,,NO,,1121 N. Fern Creek Ave,Orlando,32803,28.5611274742725,-81.359315824056,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480611,,AZALEA PARK ELEMENTARY,Elementary,YES,NO,,NO,,1 Carol Ave,Orlando,32807,28.5441630139148,-81.3141005314463,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480621,,PINE HILLS ELEMENTARY,Elementary,YES,NO,,NO,,1006 Ferndell Rd,Orlando,32808,28.5603367607367,-81.4574137086578,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480631,,BLANKNER K-8,Combination,YES,NO,,NO,,2500 S Mills Ave,Orlando,32806,28.5140051536123,-81.3640140598138,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480641,,ROCK LAKE ELEMENTARY,Elementary,YES,NO,,NO,,408 N Tampa Ave,Orlando,32805,28.5483119798669,-81.40688480837,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480651,,LAKE WESTON ELEMENTARY,Elementary,YES,NO,,NO,,5500 Milan Dr,Orlando,32810,28.6121321967664,-81.4117116740655,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480661,,COLONIAL HIGH,Senior High,YES,NO,,NO,,7775 Valencia College Ln,Orlando,32807,28.5555998233608,-81.2835496599519,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480671,,MAYNARD EVANS HIGH,Senior High,YES,NO,,NO,,4949 Silver Star Rd,Orlando,32808,28.5807994159817,-81.4494122623591,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480681,,ENGELWOOD ELEMENTARY,Elementary,YES,NO,,NO,,5985 La Costa Dr,Orlando,32807,28.5290284319229,-81.3031776068671,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480691,,OAK RIDGE HIGH,Senior High,YES,NO,,NO,,700 W Oak Ridge Rd,Orlando,32809,28.4700574492063,-81.3859974901006,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480701,,CATALINA ELEMENTARY,Elementary,YES,NO,,NO,,2448 29th St,Orlando,32805,28.5122605543184,-81.4092135473745,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480711,,CHENEY ELEMENTARY,Elementary,YES,NO,,NO,,2000 N Forsyth Rd,Orlando,32807,28.5727689014044,-81.2965504786526,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480721,,LOCKHART MIDDLE,Middle/Junior,YES,NO,,NO,,3411 Doctor Love Rd,Orlando,32810,28.6231409028471,-81.4212281206601,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480731,,MAITLAND MIDDLE,Middle/Junior,YES,NO,,NO,,701 Thistle Ln,Maitland,32751,28.6343508540826,-81.3440559746634,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480741,,SALLY RIDE ELEMENTARY,Elementary,YES,NO,,NO,,9601 11th Ave,Taft,32824,28.4252747842828,-81.3587718459619,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480751,,BROOKSHIRE ELEMENTARY,Elementary,YES,NO,,NO,,2500 Cady Way,Winter Park,32792,28.5926642834283,-81.3181144488891,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480771,,NORTHLAKE PARK COMMUNITY ELEMENTARY,Elementary,YES,NO,,NO,,9055 NorthLake Pkwy,Orlando,32827,28.4218228414423,-81.2626832794264,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
