PINST,PADDRS,PCITY,PSTABB,PZIP,PCNTY,LATITUDE22,LONGITUDE22,LEVEL,RELIG,PPHONE,district
AVENGERS CHRISTIAN ACADEMY,2846 RECKER HWY,WINTER HAVEN,FL,33880,105,28.137474,-81.923504,3,2,8776745920,POLK
CENTRAL POINTE CHRISTIAN ACADEMY,2031 SIMPSON RD,KISSIMMEE,FL,34744,097,28.310643,-81.344156,1,2,4074332276,OSCEOLA
CREATE CONSERVATORY,10200 MORNINGSIDE DR,LEESBURG,FL,34788,069,28.836414,-81.787802,1,3,3524600621,LAKE
DREAMPLEX THERAPEUTIC SCHOOL,PO BOX 120547,CLERMONT,FL,34712,069,28.537344,-81.738824,1,3,3523940212,LAKE
EMANUEL HIGH SCHOOL AND TECHNICAL INSTITUTE,2476 ADDISON CREEK DR,KISSIMMEE,FL,34758,097,28.227753,-81.475587,2,2,4072952510,OSCEOLA
FAMILY LIFE HOMESCHOOL,602 HEATHER CT,BARTOW,FL,33830,105,27.925560,-81.722669,3,2,8636040263,POLK
FUTURE SCHOLARS CHRISTIAN ACADEMY,222 E CENTRAL AVE,WINTER HAVEN,FL,33880,105,28.021851,-81.724140,3,2,8632918002,POLK
HERITAGE CHRISTIAN ACADEMY,432 COUNTY ROAD 466,LADY LAKE,FL,32159,069,28.915299,-81.931172,3,2,3527534477,LAKE
HIDDEN TREASURE PRESCHOOL CHRISTIAN ACADEMY,360 S MELLONVILLE AVE,SANFORD,FL,32771,117,28.808604,-81.255344,1,2,3219263245,SEMINOLE
HOLY CROSS LUTHERAN ACADEMY,5450 HOLY CROSS CT,SANFORD,FL,32771,117,28.810476,-81.358695,3,2,4079363636,SEMINOLE
IMMANUEL LUTHERAN,1449 34TH ST NW,WINTER HAVEN,FL,33881,105,28.039563,-81.768281,1,2,8639675145,POLK
TRINITY SIMONE CHRISTIAN ACADEMY,528 W LAKE MARY BLVD,SANFORD,FL,32773,117,28.780722,-81.272655,1,2,3213633051,SEMINOLE
LIMITLESS LEARNING EDU,6653 BORDEAUX BLVD,LAKELAND,FL,33811,105,27.944181,-82.013319,3,2,8634506185,POLK
NAZARET CHRISTIAN ACADEMY INC.,3051 LIONS CT,KISSIMMEE,FL,34744,097,28.338318,-81.386469,3,2,4079359883,OSCEOLA
NEW JERUSALEM ACADEMY,4925 OLD PLEASANT HILL RD,KISSIMMEE,FL,34759,097,28.137303,-81.447899,3,2,4072594751,OSCEOLA
PREPARING THE WAY ACADEMY,303 S VETERANS AVE,LAKELAND,FL,33815,105,28.041057,-81.972689,1,2,8638086242,POLK
REBORN CHRISTIAN ACADEMY,4710 W IBM HWY,KISSIMMEE,FL,34746,097,28.321434,-81.471778,3,2,4077342261,OSCEOLA
SAI ACADEMY,295 NE IVANHOE BLVD APT 214,ORLANDO,FL,32804,117,28.794366,-81.388566,2,3,4076244208,SEMINOLE
SHALOM CHRISTIAN ACADEMY,800 N BLVD W,DAVENPORT,FL,33837,105,28.165620,-81.615442,1,2,8635882633,POLK
THE CYGNET SCHOOL,4210 OLD MULBERRY RD,PLANT CITY,FL,33567,105,28.012878,-81.956363,3,3,8636066341,POLK
THE DREAM ACADEMY INC,2400 S HWY 27 STE 4111,CLERMONT,FL,34711,069,28.537344,-81.738824,1,3,3525568352,LAKE
THE ECCLESIAL SCHOOL AT ST. ALBAN'S,3348 W STATE ROAD,OVIEDO,FL,32765,117,28.619711,-81.255275,1,2,3212746540,SEMINOLE
TOP KIDZ CHRISTIAN ACADEMY PRIVATE SCHOOL,220 TUSKEGEE DR,SANFORD,FL,32771,117,28.784135,-81.264462,1,2,3214654455,SEMINOLE
WONDERHERE ACADEMY,5120 COLBERT RD,LAKELAND,FL,33812,105,28.011555,-81.948996,1,3,8636987782,POLK
MONTESSORI SCHOOL OF DAVENPORT INC,101-103 RIDGE CENTER DR,DAVENPORT,FL,33837,105,28.214388,-81.639212,1,3,8634387455,POLK
SERENDIPITY LEARNING CENTER,410 RIDGE RD,FERN PARK,FL,32730,117,28.651455,-81.350982,1,3,4072620010,SEMINOLE
DESTINED FOR DESTINY INSTITUTE INC,134 WILSHIRE BLVD,CASSELBERRY,FL,32707,117,28.649853,-81.327812,1,2,4078300408,SEMINOLE
MT SINAI ARTS PREPARATORY ACADEMY,1901 S JOHN YOUNG PKWY #106,KISSIMMEE,FL,34741,097,28.273644,-81.422897,1,2,4079104607,OSCEOLA
CENTRAL FL ACADEMY SANFORD,1626 W AIRPORT BLVD,SANFORD,FL,32773,117,28.785060,-81.296442,3,2,3213630063,SEMINOLE
CIRCLE CHRISTIAN SCHOOL,1491 E STATE ROAD 434 STE 104,WINTER SPRINGS,FL,32708,117,28.688805,-81.235044,3,2,4077408877,SEMINOLE
DOUBLE R PRIVATE SCHOOL,725 COUNTRY SCHOOL RD,CHULUOTA,FL,32766,117,28.653600,-81.114631,1,3,4073656856,SEMINOLE
FIRST ACADEMY-LEESBURG,219 N 13TH ST,LEESBURG,FL,34748,069,28.813680,-81.885451,3,2,3527877762,LAKE
MULBERRY CHRISTIAN ACADEMY,PO BOX 1109,MULBERRY,FL,33860,105,27.887150,-81.975841,3,2,8634251241,POLK
