NCESSCH,NAME,district,STREET,CITY,STATE,ZIP,LAT,LON,CNTY,NMCNTY,LOCALE
120147003754,HOSPITAL/HOMEBOUND PROGRAM,OSCEOLA,805 BILL BECK BLVD,KISSIMMEE,FL,34744,28.297917,-81.359251,12097,Osceola County,21
120147003888,HERITAGE PARK ACADEMY,OSCEOLA,2330 NEW BEGINNINGS RD,KISSIMMEE,FL,34744,28.293515,-81.347291,12097,Osceola County,21
120147003889,POINCIANA ACADEMY OF FINE ARTS,OSCEOLA,4201 RHODODENDRON AVE,KISSIMMEE,FL,34758,28.165742,-81.501644,12097,Osceola County,23
120147003890,PARTIN SETTLEMENT ELEMENTARY SCHOOL,OSCEOLA,2434 REMINGTON BLVD,KISSIMMEE,FL,34744,28.280753,-81.329587,12097,Osceola County,21
120147004012,BELLALAGO CHARTER ACADEMY,OSCEOLA,3651 PLEASANT HILL RD,KISSIMMEE,FL,34746,28.186058,-81.437279,12097,Osceola County,21
120147004013,HARMONY HIGH SCHOOL,OSCEOLA,3601 ARTHUR J GALLAGHER BLVD,HARMONY,FL,34771,28.18792,-81.152904,12097,Osceola County,41
120147004118,CELEBRATION HIGH SCHOOL,OSCEOLA,1809 CELEBRATION BLVD,CELEBRATION,FL,34747,28.298758,-81.568911,12097,Osceola County,21
120147004119,OSCEOLA COUNTY SCHOOL FOR THE ARTS,OSCEOLA,3151 N ORANGE BLOSSOM TRL,KISSIMMEE,FL,34744,28.341481,-81.401757,12097,Osceola County,21
120147004398,KISSIMMEE ELEMENTARY SCHOOL,OSCEOLA,3700 W DONEGAN AVE,KISSIMMEE,FL,34741,28.316443,-81.440468,12097,Osceola County,13
120147004401,FOUR CORNERS CHARTER SCHOOL,OSCEOLA,9100 TEACHER LN,DAVENPORT,FL,33897,28.295415,-81.651871,12097,Osceola County,41
120147004402,KISSIMMEE CHARTER ACADEMY,OSCEOLA,2850 BILL BECK BLVD,KISSIMMEE,FL,34744,28.330794,-81.378094,12097,Osceola County,13
120147005055,FLORA RIDGE ELEMENTARY SCHOOL,OSCEOLA,2900 DYER BLVD,KISSIMMEE,FL,34741,28.333047,-81.436039,12097,Osceola County,13
120147005655,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,OSCEOLA,4300 CHESTNUT ST,KISSIMMEE,FL,34759,28.110019,-81.454625,12097,Osceola County,41
120147005656,SUNRISE ELEMENTARY SCHOOL,OSCEOLA,1925 HAM BROWN RD,KISSIMMEE,FL,34746,28.248057,-81.460952,12097,Osceola County,21
120147005802,OSCEOLA VIRTUAL FRANCHISE (SECONDARY),OSCEOLA,1907 MICHIGAN AVENUE,ST CLOUD,FL,34769,28.240001,-81.276249,12097,Osceola County,21
120147007148,OSCEOLA TECHNICAL COLLEGE KISSIMMEE CAMPUS,OSCEOLA,501 SIMPSON RD,KISSIMMEE,FL,34744,28.298625,-81.349596,12097,Osceola County,21
120147007373,NEPTUNE ELEMENTARY SCHOOL,OSCEOLA,1200 BETSY ROSS LN,SAINT CLOUD,FL,34769,28.247657,-81.326984,12097,Osceola County,41
120147007417,LIBERTY HIGH SCHOOL,OSCEOLA,4250 PLEASANT HILL RD,KISSIMMEE,FL,34746,28.162646,-81.442049,12097,Osceola County,21
120147007498,NARCOOSSEE ELEMENTARY SCHOOL,OSCEOLA,2690 N NARCOOSSEE RD,SAINT CLOUD,FL,34771,28.3264,-81.234,12097,Osceola County,21
120147007537,OSCEOLA VIRTUAL INSTRUCTION PROGRAM,OSCEOLA,1907 MICHIGAN AVENUE,ST CLOUD,FL,34769,28.240001,-81.276249,12097,Osceola County,21
120147007621,KOA ELEMENTARY SCHOOL,OSCEOLA,5000 KOA ST,KISSIMMEE,FL,34758,28.15516,-81.48678,12097,Osceola County,41
120147007628,WESTSIDE K-8 SCHOOL,OSCEOLA,2551 WESTSIDE BLVD,KISSIMMEE,FL,34747,28.318197,-81.64745,12097,Osceola County,41
120147007630,HARMONY COMMUNITY SCHOOL,OSCEOLA,3365 SCHOOLHOUSE RD,HARMONY,FL,34773,28.201556,-81.154042,12097,Osceola County,41
120147007641,OSCEOLA CENTER FOR EARLY LEARNING,OSCEOLA,1200 VERMONT AVE,SAINT CLOUD,FL,34769,28.246428,-81.293466,12097,Osceola County,21
120147007764,MAIN STREET HIGH SCHOOL,OSCEOLA,1100 N MAIN ST,KISSIMMEE,FL,34744,28.302103,-81.404126,12097,Osceola County,13
120147007895,EAST LAKE ELEMENTARY SCHOOL,OSCEOLA,4001 BOGGY CREEK RD,KISSIMMEE,FL,34744,28.33454,-81.281298,12097,Osceola County,21
