state_school_id,school_name,nces_id,district,county,school_type,latitude,longitude,geocode_address
490272,ST. CLOUD MIDDLE SCHOOL,120147001475,OSCEOLA,OSCEOLA,Middle/Junior,28.23791,-81.275281,"1975 S MICHIGAN AVE, ST CLOUD, FL 34769"
490300,KOA ELEMENTARY SCHOOL,120147007621,OSCEOLA,OSCEOLA,Elementary,28.15516,-81.48678,"5000 KOA ST, KISSIMMEE, FL 34758"
490301,REEDY CREEK ELEMENTARY SCHOOL,120147002231,OSCEOLA,OSCEOLA,Elementary,28.228235,-81.48905,"5100 EAGLES TRL, KISSIMMEE, FL 34758"
490302,WESTSIDE K-8 SCHOOL,120147007628,OSCEOLA,OSCEOLA,Combination,28.318197,-81.64745,"2551 WESTSIDE BLVD, KISSIMMEE, FL 34747"
490311,NEPTUNE MIDDLE SCHOOL,120147002672,OSCEOLA,OSCEOLA,Middle/Junior,28.258897,-81.334005,"2727 NEPTUNE RD, KISSIMMEE, FL 34744"
490321,VENTURA ELEMENTARY SCHOOL,120147002675,OSCEOLA,OSCEOLA,Elementary,28.334232,-81.343686,"275 WATERS EDGE DR, KISSIMMEE, FL 34743"
490341,HORIZON MIDDLE SCHOOL,120147003008,OSCEOLA,OSCEOLA,Middle/Junior,28.243612,-81.463992,"2020 HAM BROWN RD, KISSIMMEE, FL 34746"
490401,BOGGY CREEK ELEMENTARY SCHOOL,120147002357,OSCEOLA,OSCEOLA,Elementary,28.327625,-81.361984,"810 FLORIDA PKWY, KISSIMMEE, FL 34743"
490501,HICKORY TREE ELEMENTARY SCHOOL,120147002448,OSCEOLA,OSCEOLA,Elementary,28.233023,-81.255003,"2355 OLD HICKORY TREE RD, SAINT CLOUD, FL 34772"
490601,GATEWAY HIGH SCHOOL,120147002476,OSCEOLA,OSCEOLA,Senior High,28.295111,-81.359642,"93 PANTHER PAWS TRL, KISSIMMEE, FL 34744"
490701,MILL CREEK ELEMENTARY SCHOOL,120147002575,OSCEOLA,OSCEOLA,Elementary,28.313846,-81.376395,"1700 MILL SLOUGH RD, KISSIMMEE, FL 34744"
490711,CELEBRATION K-8,120147003098,OSCEOLA,OSCEOLA,Combination,28.319706,-81.544783,"510 CAMPUS ST, CELEBRATION, FL 34747"
490801,LAKEVIEW ELEMENTARY SCHOOL,120147002576,OSCEOLA,OSCEOLA,Elementary,28.254419,-81.302042,"2900 5TH ST, SAINT CLOUD, FL 34769"
490811,PLEASANT HILL ELEMENTARY SCHOOL,120147002622,OSCEOLA,OSCEOLA,Elementary,28.272729,-81.432885,"1801 JACK CALHOUN DR, KISSIMMEE, FL 34741"
490821,PARKWAY MIDDLE SCHOOL,120147002623,OSCEOLA,OSCEOLA,Middle/Junior,28.327879,-81.368364,"857 FLORIDA PKWY, KISSIMMEE, FL 34743"
490831,DEERWOOD ELEMENTARY SCHOOL,120147002865,OSCEOLA,OSCEOLA,Elementary,28.181641,-81.486487,"3701 MARIGOLD AVE, KISSIMMEE, FL 34758"
490841,POINCIANA HIGH SCHOOL,120147002866,OSCEOLA,OSCEOLA,Senior High,28.234709,-81.4902,"2300 S POINCIANA BLVD, KISSIMMEE, FL 34758"
490842,LIBERTY HIGH SCHOOL,120147007417,OSCEOLA,OSCEOLA,Senior High,28.162646,-81.442049,"4250 PLEASANT HILL RD, KISSIMMEE, FL 34746"
490851,CYPRESS ELEMENTARY SCHOOL,120147000913,OSCEOLA,OSCEOLA,Elementary,28.311722,-81.351308,"2251 LAKESIDE DR, KISSIMMEE, FL 34743"
490852,ACADEMIR PREPARATORY OF CHAMPIONSGATE,120147010796,OSCEOLA,OSCEOLA,Elementary,28.274482,-81.621027,"5420 SW 157TH AVE #5, MIAMI, FL 33185"
490853,NEW DIMENSIONS HIGH SCHOOL,120147003467,OSCEOLA,OSCEOLA,Senior High,28.140087,-81.447912,"4900 OLD PLEASNT HILL RD, KISSIMMEE, FL 34759"
490862,PROFESSIONAL & TECHNICAL HIGH SCHOOL,120147003634,OSCEOLA,OSCEOLA,Senior High,28.298625,-81.349596,"501 SIMPSON RD, KISSIMMEE, FL 34744"
490863,FOUR CORNERS CHARTER SCHOOL,120147004401,OSCEOLA,OSCEOLA,Elementary,28.295415,-81.651871,"9100 TEACHER LN, DAVENPORT, FL 33897"
490866,KISSIMMEE CHARTER ACADEMY,120147004402,OSCEOLA,OSCEOLA,Combination,28.330794,-81.378094,"2850 BILL BECK BLVD, KISSIMMEE, FL 34744"
490881,P. M. WELLS CHARTER ACADEMY,120147003750,OSCEOLA,OSCEOLA,Combination,28.280398,-81.331607,"2426 REMINGTON BLVD, KISSIMMEE, FL 34744"
490901,POINCIANA ACADEMY OF FINE ARTS,120147003889,OSCEOLA,OSCEOLA,Elementary,28.165742,-81.501644,"4201 RHODODENDRON AVE, KISSIMMEE, FL 34758"
490902,CELEBRATION HIGH SCHOOL,120147004118,OSCEOLA,OSCEOLA,Senior High,28.298758,-81.568911,"1809 CELEBRATION BLVD, CELEBRATION, FL 34747"
490903,ISLAND VILLAGE ELEMENTARY SCHOOL,120147010690,OSCEOLA,OSCEOLA,Elementary,28.288969,-81.583222,"2050 CELEBRATION BLVD, KISSIMMEE, FL 34747"
490904,PARTIN SETTLEMENT ELEMENTARY SCHOOL,120147003890,OSCEOLA,OSCEOLA,Elementary,28.280753,-81.329587,"2434 REMINGTON BLVD, KISSIMMEE, FL 34744"
490921,OSCEOLA COUNTY SCHOOL FOR THE ARTS,120147004119,OSCEOLA,OSCEOLA,Combination,28.341481,-81.401757,"3151 N ORANGE BLOSSOM TRL, KISSIMMEE, FL 34744"
490922,HARMONY HIGH SCHOOL,120147004013,OSCEOLA,OSCEOLA,Senior High,28.18792,-81.152904,"3601 ARTHUR J GALLAGHER BLVD, HARMONY, FL 34771"
490931,FLORA RIDGE ELEMENTARY SCHOOL,120147005055,OSCEOLA,OSCEOLA,Elementary,28.333047,-81.436039,"2900 DYER BLVD, KISSIMMEE, FL 34741"
490932,BELLALAGO CHARTER ACADEMY,120147004012,OSCEOLA,OSCEOLA,Combination,28.186058,-81.437279,"3651 PLEASANT HILL RD, KISSIMMEE, FL 34746"
490933,NEPTUNE ELEMENTARY SCHOOL,120147007373,OSCEOLA,OSCEOLA,Elementary,28.247657,-81.326984,"1200 BETSY ROSS LN, SAINT CLOUD, FL 34769"
490957,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,120147005655,OSCEOLA,OSCEOLA,Elementary,28.110019,-81.454625,"4300 CHESTNUT ST, KISSIMMEE, FL 34759"
490958,SUNRISE ELEMENTARY SCHOOL,120147005656,OSCEOLA,OSCEOLA,Elementary,28.248057,-81.460952,"1925 HAM BROWN RD, KISSIMMEE, FL 34746"
490961,EAST LAKE ELEMENTARY SCHOOL,120147007895,OSCEOLA,OSCEOLA,Elementary,28.33454,-81.281298,"4001 BOGGY CREEK RD, KISSIMMEE, FL 34744"
490962,NEOCITY ACADEMY,120147008640,OSCEOLA,OSCEOLA,Senior High,28.29073,-81.371603,"195 NEOCITY WAY, KISSIMMEE, FL 34744"
490971,MATER BRIGHTON LAKES ACADEMY PREPARATORY HIGH,120147008767,OSCEOLA,OSCEOLA,Senior High,28.200227,-81.441502,"3250 PLEASANT HILL ROAD, KISSIMMEE, FL 34746"
490991,CANOE CREEK K-8,120147008947,OSCEOLA,OSCEOLA,Combination,28.185518,-81.290632,"3600 CANOE CREEK ROAD, ST. CLOUD, FL 34772"
492941,KNIGHTS POINT K-8,120147010797,OSCEOLA,OSCEOLA,Combination,28.269812,-81.481167,"817 BILL BECK BLVD, KISSIMMEE, FL 34744"
492942,VOYAGER K-8,120147010798,OSCEOLA,OSCEOLA,Combination,28.33848,-81.171199,"817 BILL BECK BLVD, KISSIMMEE, FL 34744"
497004,OSCEOLA VIRTUAL FRANCHISE (SECONDARY),120147005802,OSCEOLA,OSCEOLA,Combination,28.240001,-81.276249,"1907 MICHIGAN AVENUE, ST CLOUD, FL 34769"
530031,LAKELAND SENIOR HIGH SCHOOL,120159001703,POLK,POLK,Senior High,28.035502,-81.939837,"726 HOLLINGSWORTH RD, LAKELAND, FL 33801"
530043,LAWTON CHILES MIDDLE ACADEMY,120159003015,POLK,POLK,Middle/Junior,28.04824,-81.957666,"400 FLORIDA AVE N, LAKELAND, FL 33801"
530051,SOUTHWEST MIDDLE SCHOOL,120159001705,POLK,POLK,Middle/Junior,28.012362,-81.964104,"2815 EDEN PKWY, LAKELAND, FL 33803"
530061,CARLTON PALMORE ELEMENTARY SCHOOL,120159001706,POLK,POLK,Elementary,27.995858,-81.949635,"3725 CLEVELND HTS BLVD, LAKELAND, FL 33803"
530081,CLEVELAND COURT ELEMENTARY SCHOOL,120159001708,POLK,POLK,Elementary,28.012104,-81.954079,"328 EDGEWOOD DR E, LAKELAND, FL 33803"
530091,COMBEE ACADEMY OF DESIGN AND ENGINEERING,120159001709,POLK,POLK,Elementary,28.06183,-81.90234,"2805 MORGAN COMBEE RD, LAKELAND, FL 33801"
530101,CRYSTAL LAKE ELEMENTARY SCHOOL,120159001710,POLK,POLK,Elementary,28.03435,-81.912515,"700 GALVIN DR, LAKELAND, FL 33801"
530131,DIXIELAND ELEMENTARY SCHOOL,120159001712,POLK,POLK,Elementary,28.025517,-81.96073,"416 ARIANA ST, LAKELAND, FL 33803"
530141,SOUTH POINTE ELEMENTARY,120159009036,POLK,POLK,Elementary,27.924821,-81.670102,"9525 STATE HWY 653, WINTER HAVEN, FL 33884"
530151,PHILIP O'BRIEN ELEMENTARY SCHOOL,120159001713,POLK,POLK,Elementary,28.039857,-81.939316,"1225 LIME ST E, LAKELAND, FL 33801"
530181,MEDULLA ELEMENTARY SCHOOL,120159001715,POLK,POLK,Elementary,27.966923,-81.970624,"850 SCHOOLHOUSE RD, LAKELAND, FL 33813"
530191,R. BRUCE WAGNER ELEMENTARY SCHOOL,120159003923,POLK,POLK,Elementary,27.966456,-82.010517,"5500 YATES RD, LAKELAND, FL 33811"
530201,NORTH LAKELAND ELEMENTARY SCHOOL OF CHOICE,120159001716,POLK,POLK,Elementary,28.08328,-81.960456,"410 ROBSON ST W, LAKELAND, FL 33805"
530231,SOUTHWEST ELEMENTARY SCHOOL,120159001717,POLK,POLK,Elementary,28.014401,-81.959527,"2650 SOUTHWEST AVE, LAKELAND, FL 33803"
530251,LINCOLN AVENUE ACADEMY,120159001718,POLK,POLK,Elementary,28.061458,-81.966067,"1330 LINCOLN AVE N, LAKELAND, FL 33805"
530261,ROCHELLE SCHOOL OF THE ARTS,120159001719,POLK,POLK,Combination,28.064299,-81.960285,"1501 MARTIN L KING JR AVE, LAKELAND, FL 33805"
530311,DANIEL JENKINS ACADEMY OF TECHNOLOGY MIDDLE SCHOOL,120159004435,POLK,POLK,Middle/Junior,28.103075,-81.625925,"701 LEDWITH AVE, HAINES CITY, FL 33844"
530321,SHELLEY S. BOONE MIDDLE SCHOOL,120159001721,POLK,POLK,Middle/Junior,28.10173,-81.612581,"225 22ND ST S, HAINES CITY, FL 33844"
530331,ALTA VISTA ELEMENTARY SCHOOL,120159001722,POLK,POLK,Elementary,28.085564,-81.624432,"801 SCENIC HWY S, HAINES CITY, FL 33844"
530341,SANDHILL ELEMENTARY SCHOOL,120159004436,POLK,POLK,Elementary,28.042653,-81.561063,"1801 TYNER RD, HAINES CITY, FL 33844"
530361,EASTSIDE ELEMENTARY SCHOOL,120159001723,POLK,POLK,Elementary,28.114848,-81.615818,"1820 JOHNSON AVE E, HAINES CITY, FL 33844"
530391,BETHUNE ACADEMY,120159001724,POLK,POLK,Elementary,28.12191,-81.623997,"900 AVENUE F, HAINES CITY, FL 33844"
530401,DAVENPORT SCHOOL OF THE ARTS,120159001725,POLK,POLK,Combination,28.228305,-81.584553,"4751 COUNTY ROAD 547 N, DAVENPORT, FL 33837"
530441,RIDGEVIEW GLOBAL STUDIES ACADEMY,120159004437,POLK,POLK,Combination,28.246128,-81.646904,"1000 DUNSON RD, DAVENPORT, FL 33896"
530481,WINTER HAVEN SENIOR HIGH SCHOOL,120159001726,POLK,POLK,Senior High,28.013692,-81.717884,"600 6TH ST SE, WINTER HAVEN, FL 33880"
530491,DENISON MIDDLE SCHOOL,120159001727,POLK,POLK,Middle/Junior,28.020736,-81.721517,"400 AVENUE A SE, WINTER HAVEN, FL 33880"
530531,FRANK E. BRIGHAM ACADEMY,120159001728,POLK,POLK,Elementary,28.019732,-81.717669,"601 AVENUE C SE, WINTER HAVEN, FL 33880"
530571,WESTWOOD MIDDLE SCHOOL,120159001729,POLK,POLK,Middle/Junior,28.032085,-81.770317,"3520 AVENUE J NW, WINTER HAVEN, FL 33881"
530591,ELBERT ELEMENTARY SCHOOL,120159001730,POLK,POLK,Elementary,28.0237,-81.7033,"205 15TH ST NE, WINTER HAVEN, FL 33881"
530601,FRED G. GARNER ACADEMY,120159001731,POLK,POLK,Elementary,28.04425,-81.758651,"2500 HAVENDALE BLVD NW, WINTER HAVEN, FL 33881"
530611,INWOOD ELEMENTARY SCHOOL,120159001732,POLK,POLK,Elementary,28.029566,-81.754637,"2200 AVENUE G NW, WINTER HAVEN, FL 33880"
